ID;Operador;Pop;TX_C;TX_M;Melhor;Pior;Média;Mediana;Desvio Padrão;Vetor da Rota (Melhor)
C1;OX;50;0.8;0.01;41132.0;53008.0;47031.52;46724.0;2828.382881450394;[2, 21, 15, 0, 30, 17, 27, 43, 37, 7, 8, 14, 39, 10, 12, 24, 28, 1, 3, 25, 34, 44, 9, 23, 41, 4, 47, 38, 31, 20, 46, 11, 32, 45, 29, 42, 16, 26, 36, 18, 5, 6, 35, 19, 22, 13, 33, 40]
C2;PMX;50;0.8;0.01;43840.0;66241.0;54004.14;53960.5;4505.874913388302;[46, 2, 21, 0, 15, 40, 28, 33, 13, 11, 30, 37, 7, 8, 39, 14, 45, 43, 27, 36, 18, 5, 29, 35, 17, 6, 42, 16, 26, 19, 32, 22, 10, 12, 24, 47, 4, 41, 1, 25, 3, 34, 44, 9, 23, 31, 38, 20]
C3;OX;50;0.8;0.05;68717.0;88543.0;76309.84;75633.0;4670.790014722633;[44, 25, 1, 3, 34, 9, 4, 40, 33, 0, 7, 13, 46, 38, 24, 12, 32, 11, 14, 30, 42, 36, 45, 27, 5, 10, 39, 37, 43, 15, 8, 21, 2, 22, 17, 16, 26, 18, 29, 6, 35, 19, 20, 28, 23, 41, 47, 31]
C4;PMX;50;0.8;0.05;62625.0;79320.0;70375.1;69868.5;3949.512985993414;[4, 34, 44, 9, 23, 38, 21, 7, 2, 22, 13, 19, 8, 0, 43, 37, 39, 15, 40, 28, 1, 3, 25, 41, 12, 46, 10, 20, 30, 17, 6, 14, 42, 16, 5, 18, 26, 27, 36, 29, 35, 45, 32, 33, 24, 11, 31, 47]
C5;OX;50;0.9;0.01;41988.0;57614.0;47853.12;47818.0;3498.5249115498227;[46, 10, 45, 30, 17, 43, 6, 35, 27, 29, 5, 36, 18, 26, 16, 42, 19, 14, 11, 32, 37, 7, 0, 8, 2, 21, 15, 40, 33, 39, 22, 13, 24, 12, 38, 47, 4, 28, 1, 34, 44, 23, 9, 3, 25, 41, 31, 20]
C6;PMX;50;0.9;0.01;43674.0;62041.0;53105.44;53366.5;4228.105143982518;[5, 17, 6, 43, 30, 8, 7, 0, 21, 39, 37, 45, 32, 19, 46, 31, 23, 44, 34, 3, 25, 9, 41, 38, 20, 12, 24, 13, 22, 10, 11, 14, 2, 15, 40, 33, 1, 28, 4, 47, 35, 27, 29, 42, 16, 26, 18, 36]
C7;OX;50;0.9;0.05;67952.0;89187.0;78190.98;78603.5;4657.404210414174;[18, 5, 26, 16, 46, 38, 47, 13, 28, 41, 9, 23, 34, 44, 31, 20, 7, 37, 19, 29, 42, 32, 14, 8, 40, 1, 25, 3, 4, 24, 12, 15, 39, 21, 33, 0, 10, 11, 45, 22, 2, 35, 6, 43, 17, 36, 30, 27]
C8;PMX;50;0.9;0.05;60339.0;78830.0;70318.5;71114.5;4251.59500082268;[43, 35, 18, 26, 36, 6, 17, 7, 37, 21, 0, 42, 5, 16, 29, 27, 32, 11, 22, 12, 28, 34, 25, 3, 47, 33, 40, 15, 8, 2, 39, 19, 46, 20, 38, 24, 41, 1, 4, 9, 44, 23, 31, 13, 10, 14, 45, 30]
C9;OX;100;0.8;0.01;38125.0;52299.0;43346.2;42994.0;3280.2524106463243;[40, 33, 2, 22, 12, 13, 24, 38, 47, 4, 28, 1, 41, 3, 25, 34, 44, 9, 23, 31, 20, 46, 19, 14, 45, 32, 11, 10, 39, 0, 7, 35, 6, 27, 36, 16, 18, 26, 42, 29, 5, 17, 43, 30, 37, 8, 21, 15]
C10;PMX;100;0.8;0.01;41572.0;58948.0;50540.28;50388.0;4072.900275564561;[10, 46, 20, 31, 23, 44, 34, 9, 4, 33, 40, 2, 21, 15, 0, 7, 37, 35, 29, 42, 16, 26, 18, 36, 5, 27, 6, 17, 43, 30, 45, 32, 19, 14, 8, 39, 22, 13, 28, 1, 3, 25, 41, 47, 38, 24, 12, 11]
C11;OX;100;0.8;0.05;65694.0;87249.0;76739.82;76524.5;4545.955783699061;[16, 42, 26, 18, 43, 30, 37, 32, 27, 46, 20, 31, 38, 45, 10, 22, 6, 17, 14, 21, 39, 35, 5, 0, 33, 40, 15, 7, 12, 13, 24, 4, 47, 44, 34, 23, 9, 25, 1, 3, 41, 28, 2, 11, 19, 8, 36, 29]
C12;PMX;100;0.8;0.05;60073.0;81086.0;71014.8;71013.0;5042.263947304396;[38, 46, 20, 24, 10, 42, 26, 43, 17, 27, 29, 16, 5, 36, 8, 45, 30, 11, 22, 31, 23, 44, 34, 3, 1, 25, 41, 9, 47, 12, 32, 19, 18, 6, 35, 37, 39, 7, 0, 14, 2, 33, 40, 15, 21, 13, 28, 4]
C13;OX;100;0.9;0.01;39179.0;54124.0;46802.08;46456.0;3766.7352606841955;[30, 43, 17, 6, 35, 27, 36, 5, 29, 18, 26, 42, 16, 32, 14, 19, 46, 20, 12, 22, 13, 24, 38, 31, 47, 4, 3, 25, 44, 34, 9, 23, 41, 1, 28, 33, 40, 15, 21, 7, 0, 8, 37, 39, 2, 10, 11, 45]
C14;PMX;100;0.9;0.01;40032.0;59901.0;50082.9;49150.5;4833.854709974521;[13, 22, 10, 11, 46, 19, 32, 30, 37, 7, 8, 43, 17, 6, 27, 35, 5, 36, 18, 16, 42, 26, 29, 45, 14, 39, 0, 21, 33, 40, 15, 2, 12, 20, 31, 38, 28, 1, 3, 25, 34, 44, 9, 23, 41, 4, 47, 24]
C15;OX;100;0.9;0.05;66580.0;86724.0;79101.76;79147.5;4299.87394955257;[18, 5, 36, 29, 27, 6, 17, 35, 32, 11, 19, 38, 47, 12, 10, 20, 42, 14, 39, 21, 4, 28, 22, 31, 23, 9, 25, 44, 41, 34, 3, 1, 24, 13, 33, 40, 2, 16, 30, 37, 45, 46, 15, 7, 8, 0, 43, 26]
C16;PMX;100;0.9;0.05;63485.0;80156.0;71329.9;71359.0;3765.6738142741738;[14, 17, 6, 27, 36, 19, 11, 7, 30, 8, 35, 16, 26, 29, 42, 18, 5, 37, 39, 22, 24, 13, 21, 46, 10, 45, 0, 40, 15, 2, 1, 28, 44, 9, 41, 4, 33, 47, 25, 3, 34, 23, 38, 31, 12, 20, 32, 43]
